Date,Discharge
12/19/1927,311
12/20/1927,311
12/21/1927,306
12/22/1927,302
12/23/1927,298
12/24/1927,294
12/25/1927,294
12/26/1927,294
12/27/1927,294
12/28/1927,294
12/29/1927,294
12/30/1927,294
12/31/1927,294
1/1/1928,301
1/2/1928,308
1/3/1928,301
1/4/1928,294
1/5/1928,295
1/6/1928,296
1/7/1928,297
1/8/1928,297
1/9/1928,297
1/10/1928,297
1/11/1928,294
1/12/1928,291
1/13/1928,289
1/14/1928,291
1/15/1928,295
1/16/1928,300
1/17/1928,302
1/18/1928,298
1/19/1928,294
1/20/1928,297
1/21/1928,297
1/22/1928,300
1/23/1928,300
1/24/1928,300
1/25/1928,297
1/26/1928,297
1/27/1928,297
1/28/1928,297
1/29/1928,297
1/30/1928,296
1/31/1928,294
2/1/1928,294
2/2/1928,294
2/3/1928,294
2/4/1928,297
2/5/1928,294
2/6/1928,297
2/7/1928,300
2/8/1928,294
2/9/1928,289
2/10/1928,286
2/11/1928,291
2/12/1928,291
2/13/1928,291
2/14/1928,292
2/15/1928,294
2/16/1928,294
2/17/1928,294
2/18/1928,291
2/19/1928,294
2/20/1928,294
2/21/1928,
2/22/1928,
2/23/1928,
2/24/1928,
2/25/1928,305
2/26/1928,305
2/27/1928,302
2/28/1928,302
2/29/1928,300
3/1/1928,297
3/2/1928,297
3/3/1928,297
3/4/1928,294
3/5/1928,294
3/6/1928,294
3/7/1928,294
3/8/1928,291
3/9/1928,
3/10/1928,
3/11/1928,
3/12/1928,
3/13/1928,297
3/14/1928,297
3/15/1928,300
3/16/1928,297
3/17/1928,297
3/18/1928,297
3/19/1928,297
3/20/1928,297
3/21/1928,300
3/22/1928,297
3/23/1928,297
3/24/1928,300
3/25/1928,300
3/26/1928,300
3/27/1928,300
3/28/1928,300
3/29/1928,300
3/30/1928,300
3/31/1928,300
4/1/1928,300
4/2/1928,297
4/3/1928,297
4/4/1928,294
4/5/1928,292
4/6/1928,291
4/7/1928,291
4/8/1928,294
4/9/1928,297
4/10/1928,300
4/11/1928,297
4/12/1928,296
4/13/1928,294
4/14/1928,299
4/15/1928,305
4/16/1928,301
4/17/1928,297
4/18/1928,300
4/19/1928,300
4/20/1928,302
4/21/1928,300
4/22/1928,300
4/23/1928,297
4/24/1928,297
4/25/1928,297
4/26/1928,297
4/27/1928,294
4/28/1928,291
4/29/1928,294
4/30/1928,294
5/1/1928,294
5/2/1928,297
5/3/1928,294
5/4/1928,291
5/5/1928,291
5/6/1928,291
5/7/1928,291
5/8/1928,289
5/9/1928,289
5/10/1928,291
5/11/1928,291
5/12/1928,289
5/13/1928,
5/14/1928,
5/15/1928,300
5/16/1928,297
5/17/1928,294
5/18/1928,297
5/19/1928,294
5/20/1928,292
5/21/1928,291
5/22/1928,291
5/23/1928,289
5/24/1928,289
5/25/1928,289
5/26/1928,289
5/27/1928,291
5/28/1928,286
5/29/1928,291
5/30/1928,297
5/31/1928,300
6/1/1928,300
